title,imdb_id,tmdb_id,original_title,adult,belongs_to_collection,poster_path,budget,genres,homepage,overview,popularity,production_companies,production_countries,release_date,spoken_languages,status,vote_average,vote_count,movie_id,original_language
11'09''01 - September 11,tt0328802,1926.0,11'09''01 - September 11,False,,/u3J9FHCh7s9KmsWkHP5JH8zohes.jpg,0.0,,,11 directors show their view on the terrorist attacks on the world trade center in New York.,3.103918,,,2002-09-04,,Released,6.1,24.0,110901+-+september+11+2002,en
11:14,tt0331811,9282.0,11:14,False,,/pRHGz9UL3i4wktMOZhMnxgTvCWp.jpg,6000000.0,,,Tells the seemingly random yet vitally connected story of a set of incidents that all converge one evening at 11:14pm. The story follows the chain of events of five different characters and five different storylines that all converge to tell the story of murder and deceit.,14.454722,,,2003-05-16,,Released,6.8,211.0,1114+2003,en
12:01,tt0106188,17803.0,12:01,False,,/xpRrYAJtLrbAcKv0h64kRG6rNit.jpg,0.0,,,"Office employee Barry Thomas is caught in a ""time bounce"" caused by a glitch in the company's secret project. Now the same day occurs again and again - and Barry's the only one who can do anything about it, including saving the life of beautiful research assistant Lisa Fredericks.",8.811327,,,1993-07-05,,Released,6.2,33.0,1201+1993,en
12:01 PM,tt0098962,30647.0,12:01 PM,False,,/aBvCfhFad3AVN7iOFrr9bPNDwjG.jpg,0.0,,,"Kurtwood Smith plays Myron Castleman, an everyman who keeps repeating the same hour of his life, from 12:01 PM to 1:00 PM.",1.927712,,,1990-01-01,,Released,5.8,6.0,1201+pm+1990,en
12:08 East of Bucharest,tt0809407,24159.0,A fost sau n-a fost?,False,,/59qdoIeW6gINHt6nFw6uyAUhot6.jpg,0.0,,,"It's the 22nd of December. Sixteen years have passed since the revolution, and in a small town Christmas is about to come. Piscoci, an old retired man is preparing for another Christmas alone. Manescu, the history teacher, tries to keep up with his debts. Jderescu, the owner of a local television post, seems not to be so interested in the upcoming holidays. For him, the time to face history has come. Along with Manescu and Piscoci, he is trying to answer for himself a question which for 16 years has not had an answer: ""Was it or wasn't it a revolution in their town?""",1.764346,,,2006-06-02,,Released,6.5,22.0,1208+east+of+bucharest+2006,ro
12th & Delaware,tt1548865,44806.0,12th & Delaware,False,,/mKzOp0rENfpSMYcYOxAykc6d0Mr.jpg,0.0,,,The abortion battle continues to rage in unexpected ways on one corner in an American city.,0.155882,,,2010-04-01,,Released,8.4,4.0,12th++delaware+2010,en
13 Assassins,tt1436045,58857.0,??????,False,,/7Vr1c98X9JaKW6K95Xm6KBqiqDg.jpg,6000000.0,,http://www.13assassins.com/,A bravado period action film set at the end of Japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future.,9.534232,,,2010-09-09,,Released,7.1,362.0,13+assassins+2010,ja
13/13/13,tt2991516,226269.0,13/13/13,False,,/mMyl0qca67rZH7iLE1p0tigdds1.jpg,0.0,,,It's the 13th month of the 13th year of the new millennium.,1.714883,,,2013-09-30,,Released,4.0,15.0,131313+2013,en
1492: Conquest of Paradise,tt0103594,1492.0,1492: Conquest of Paradise,False,,/bdrP911VLCPBX7AGgYRT3Dlr1OD.jpg,47000000.0,,,1492: Conquest of Paradise depicts Christopher Columbus’ discovery of The New World and his effect on the indigenous people.,11.618792,,,1992-10-09,,Released,6.1,180.0,1492+conquest+of+paradise+1992,en
1612: Chronicles of the Dark Time,tt1139085,52256.0,1612: ??????? ???????? ???????,False,,/lrvbPMBtPrhD46GOY94tmeISrWg.jpg,12000000.0,,,"The czar of Russia has died and a power vacuum has developed. This period in the late 16th and early 17th century has been called ""The Time of Troubles."" There are many impostors who claim to the right to rule, but there's only one heir, the Czarina Kseniya Godunova. She has married a Polish military leader who wants to claim the Russian throne in her name so he can rule all of Russia. As the Poles move in on Moscow in an attempt to install the czarina on the throne, Andrei, a serf with a life-long infatuation of the czarina attempts to save her from her brutal Polish husband.",1.225282,,,2007-10-28,,Released,5.3,8.0,1612+chronicles+of+the+dark+time+2007,ru
